// Map Data: USA, Cheyenne (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1000 y: 620
n: Flag O' Metal Club d: A huge waving flag on the entrance of the club makes it hard to miss. Metalheads come here for a good time.
type: Gig
days: 1,0,1,0,1,0,0
times: 15:00,N,15:00,N,18:00,N,N
img: Billboards\bb_venue01.png
ticket: 3.8
capacity: 400
min_bandrating: 0.37
grade: D
// Video Clip
x: 1200 y: 250
n: Rebirth Studio d: Definitely not the best and possibly not the worst studio to get your video clips shot.
type: Video
price: 200
studio_quality: 0.3
days: 0,1,0,1,0,1,0
times: N,10:00,N,08:00,N,08:00,N
img: Billboards\bb_venue01.png
grade: C-
// Fast Food
x: 1200 y: 500
n: Sandwich Emperor d: Since 1945 this company has sold millions of the least healthy burgers this world has ever seen.
type: Fastfood
img: Billboards\bb_SandwichEmperor.png
