// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1780 y: 245
n: Birb Bar d: Rock lovers and bird enthusiasts alike join in for the kick butt music here.
type: Gig
days: 0,0,0,1,0,0,0
times: N,N,N,11:00,N,N,N
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1500
min_bandrating: 0.85
grade: A
// Recording Studio
x: 820 y: 445
n: Flaming Bird Studio d: Crystal clear recordings that bring a tear to the eyes of rockstars.
type: Studio
price: 8000
studio_quality: 0.9
days: 1,0,0,0,1,0,1
times: 13:00,N,N,N,13:00,N,16:00
img: Billboards\bb_venue01.png
min_bandrating: 0.9
grade: A
// Bar
x: 1005 y: 525
n: Rocker Bar d: Bubble blowing babies should avoid this place.
type: Bar
img: Billboards\bb_RockerBar.png
// Drug Dealer
x: 1360 y: 450
n: Definitely Not Drugs d: The motto for this dealer is, "Definitely not drugs!"
type: Drugdealer
img: Billboards\bb_DrugDealer.png
