// Map Data: USA, Easton (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 680 y: 550
n: El Pablito Rock Cafe d: An earthly heaven for tequila fans and of course heavy metal fanatics.
type: Gig
days: 0,1,1,0,0,0,1
times: N,12:30,16:00,N,N,N,12:30
img: Billboards\bb_venue01.png
ticket: 4.4
capacity: 580
min_bandrating: 0.43
grade: D+
// Fast Food
x: 1000 y: 300
n: Sandwich Emperor d: Since 1945 this company has sold millions of the least healthy burgers this world has ever seen.
type: Fastfood
img: Billboards\bb_SandwichEmperor.png
