// Map Data: USA, Montpelier (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1480 y: 220
n: Braveheart Venue d: People throwing bottles at the stage is a common thing here, careful people, there is another one COMING!!!
type: Gig
days: 0,0,0,0,0,1,0
times: N,N,N,N,N,18:00,N
img: Billboards\bb_venue01.png
ticket: 4.9
capacity: 920
min_bandrating: 0.47
grade: D+
// Fast Food
x: 1200 y: 500
n: Sandwich Emperor d: Since 1945 this company has sold millions of the least healthy burgers this world has ever seen.
type: Fastfood
img: Billboards\bb_SandwichEmperor.png
