// Map Data: USA, Easton (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 780 y: 280
n: Doberman Pub d: A pretty normal place for low tier musicians to perform at. The picture of a doberman is staring at everyone in that pub.
type: Gig
days: 0,1,0,1,0,0,1
times: N,11:30,N,11:30,N,N,18:00
img: Billboards\bb_venue01.png
ticket: 1.6
capacity: 180
min_bandrating: 0.20
grade: F+
// Record Deal
x: 1500 y: 660
n: No Hope Records d: 
type: Record Deal
record_rank: F
min_bandrating: 0.08
min_fans: 800
min_albums: 0
min_albumrating: 0
distribution_power: 1
revenue_share: 0.40
album_type: EP
studio_discount: 0.30
studio_locations: Firstborn Studio
videoclip_discount: 0.25
videoclip_count: 1
videoclip_locations: Above Ground Studio
upfront_money: 800
revenue_affect: 0.5
songs_required: 3
songs_minimum_rating: 0.05
videoclips_required: 1
gigs_required: 2
gigs_locations: Rosemary & Time Bar
fine_amount: 1000
cancel_cooldown: 28
due_date: 30
// Fast Food
x: 1180 y: 560
n: Sandwich Emperor d: Since 1945 this company has sold millions of the least healthy burgers this world has ever seen.
type: Fastfood
img: Billboards\bb_SandwichEmperor.png
// Strip Club
x: 930 y: 680
n: The North Pole d: Known for their energetic employees and loud music.
type: Stripclub
// Rehab
x: 1660 y: 200
n: Happy and Healthy d: A upbeat and empowering rehab center designed to cater to musicians.
type: Rehab
img: Billboards\bb_Rehab.png
img: Billboards\bb_TheNorthPole.png
