// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1120 y: 345
n: Alligator Wrestler d: Musicians come here to provide music while customers suplex alligators.
type: Gig
days: 0,1,0,1,0,1,0
times: N,18:00,N,18:00,N,18:00,N
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1180
min_bandrating: 0.65
grade: C+
// Strip Club
x: 1430 y: 580
n: The North Pole d: Known for their energetic employees and loud music.
type: Stripclub
img: Billboards\bb_TheNorthPole.png
