// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 820 y: 345
n: Chances Girls d: They where high heels and carry big credit cards. More money here than most banks.
type: Gig
days: 0,1,0,0,0,0,1
times: N,10:00,N,N,N,N,14:30
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1070
min_bandrating: 0.56
grade: C
// Recording Studio
x: 1500 y: 630
n: Melodik Studio d: A smelly studio that only produces decent recordings.
type: Studio
price: 600
studio_quality: 0.35
days: 1,0,0,0,1,0,1
times: 10:30,N,N,N,10:30,N,12:00
img: Billboards\bb_venue01.png
min_bandrating: 0.4
grade: C-
// Fast Food
x: 800 y: 800
n: Sandwich Emperor d: Since 1945 this company has sold millions of the least healthy burgers this world has ever seen.
type: Fastfood
img: Billboards\bb_SandwichEmperor.png
