// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1120 y: 345
n: Adults Only d: Oddly enough, mostly teenagers hang out here.
type: Gig
days: 0,1,0,0,0,0,1
times: N,16:00,N,N,N,N,16:00
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1220
min_bandrating: 0.65
grade: C+
// Drug Dealer
x: 1450 y: 650
n: Definitely Not Drugs d: The motto for this dealer is, "Definitely not drugs!"
type: Drugdealer
img: Billboards\bb_DrugDealer.png
// Record Deal
x: 920 y: 600
n: Wolf & Roach Records d: 
type: Record Deal
record_rank: B-
min_bandrating: 0.65
min_fans: 60000
min_albums: 5
min_albumrating: 0.5
distribution_power: 1.5
revenue_share: 0.3
album_type: EP
studio_discount: 0.3
studio_locations: Endless Labyrinth Studio
videoclip_discount: 0.25
videoclip_count: 1
videoclip_locations: Middle Ground Studio
upfront_money: 12000
revenue_affect: 0.5
songs_required: 4
songs_minimum_rating: 0.68
videoclips_required: 1
gigs_required: 2
gigs_locations: Extreme Solitude#Super Savior
fine_amount: 8000
cancel_cooldown: 43
due_date: 25
