// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1120 y: 335
n: The Desert d: This place got its name from its lack of air conditioning.
type: Gig
days: 0,1,0,1,0,1,0
times: N,20:00,N,20:00,N,15:00,N
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1030
min_bandrating: 0.52
grade: C-
// Fast Food
x: 1200 y: 500
n: Sandwich Emperor d: Since 1945 this company has sold millions of the least healthy burgers this world has ever seen.
type: Fastfood
img: Billboards\bb_SandwichEmperor.png
// Rehab
x: 900 y: 700
n: Happy and Healthy d: A upbeat and empowering rehab center designed to cater to musicians.
type: Rehab
img: Billboards\bb_Rehab.png
