// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 920 y: 695
n: Counter-Life d: Known for being one of the biggest, smallest gigs in the USA.
type: Gig
days: 0,1,0,0,0,0,1
times: N,06:00,N,N,N,N,08:00
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1040
min_bandrating: 0.53
grade: C-
// Fast Food
x: 900 y: 300
n: Sandwich Emperor d: Since 1945 this company has sold millions of the least healthy burgers this world has ever seen.
type: Fastfood
img: Billboards\bb_SandwichEmperor.png
