// Map Data: USA, Montpelier (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 820 y: 345
n: Sprinkle Doughnut Venue d: A name given to lure unsuspecting victims into the massive mosh pits and aggressive audience.
type: Gig
days: 0,0,0,1,0,1,0
times: N,N,N,10:00,N,10:00,N
img: Billboards\bb_venue01.png
ticket: 4.8
capacity: 820
min_bandrating: 0.47
grade: D+
// Bar
x: 930 y: 640
n: Rocker Bar d: Bubble blowing babies should avoid this place.
type: Bar
img: Billboards\bb_RockerBar.png
