// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1100 y: 600
n: Mamas Brew d: Here you will find the most borderline illegal drinks in the USA and even more wild music.
type: Gig
days: 1,0,1,0,1,0,0
times: 18:30,N,18:30,N,12:00,N,N
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1140
min_bandrating: 0.63
grade: C
// Video Clip
x: 1300 y: 250
n: Medieval Times Studio d: Woah is that a sepcial effect on our clip? 
type: Video
price: 1200
studio_quality: 0.6
days: 0,1,0,1,0,1,0
times: N,10:00,N,10:00,N,07:00,N
img: Billboards\bb_venue01.png
grade: B-
// Fast Food
x: 1300 y: 500
n: Sandwich Emperor d: Since 1945 this company has sold millions of the least healthy burgers this world has ever seen.
type: Fastfood
img: Billboards\bb_SandwichEmperor.png
// Drug Dealer
x: 1460 y: 600
n: Definitely Not Drugs d: The motto for this dealer is, "Definitely not drugs!"
type: Drugdealer
img: Billboards\bb_DrugDealer.png
