// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 820 y: 345
n: Savage Grandmother d: Jennie (the owner) is known to be an absolute savage to her grand children.
type: Gig
days: 1,0,1,0,1,0,0
times: 06:00,N,06:00,N,08:00,N,N
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1300
min_bandrating: 0.71
grade: B
// Recording Studio
x: 900 y: 630
n: Irish Roots Studio d: A big place ready for some serious work.
type: Studio
price: 3000
studio_quality: 0.7
days: 1,0,0,0,1,0,1
times: 12:00,N,N,N,10:00,N,10:00
img: Billboards\bb_venue01.png
min_bandrating: 0.7
grade: B
// Strip Club
x: 1110 y: 380
n: The North Pole d: Known for their energetic employees and loud music.
type: Stripclub
img: Billboards\bb_TheNorthPole.png
// Drug Dealer
x: 1360 y: 550
n: Definitely Not Drugs d: The motto for this dealer is, "Definitely not drugs!"
type: Drugdealer
img: Billboards\bb_DrugDealer.png
