// Map Data: USA, Pierre (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1180 y: 420
n: Red Revolver Bar d: Washed up musicians prefer to play in this western like bar which is now a mere reflection of a great past.
type: Gig
days: 1,0,0,1,0,1,0
times: 11:00,N,N,11:00,N,12:30,N
img: Billboards\bb_venue01.png
ticket: 1.4
capacity: 160
min_bandrating: 0.17
grade: F+
// Bar
x: 1330 y: 550
n: Rocker Bar d: Bubble blowing babies should avoid this place.
type: Bar
img: Billboards\bb_RockerBar.png
// Fast Food
x: 1500 y: 200
n: Sandwich Emperor d: Since 1945 this company has sold millions of the least healthy burgers this world has ever seen.
type: Fastfood
img: Billboards\bb_SandwichEmperor.png
