// Map Data: USA, Pierre (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 800 y: 480
n: Rosemary & Time Bar d: A bar owned by a once famous rockstar nicknamed Dandelion. Now a place for small bands to put on shows.
type: Gig
days: 0,1,0,0,0,0,1
times: N,16:00,N,N,N,N,16:00
img: Billboards\bb_venue01.png
ticket: 1.3
capacity: 140
min_bandrating: 0.16
grade: F+
// Video Clip
x: 1000 y: 250
n: Above Ground Studio d: A studio that produces sketchy low-budget content with the video quality of a potato recorder.
type: Video
price: 100
studio_quality: 0.1
days: 1,0,1,0,1,0,0
times: 10:30,N,10:30,N,09:00,N,N
img: Billboards\bb_venue01.png
grade: F
// Fast Food
x: 1400 y: 200
n: Sandwich Emperor d: Since 1945 this company has sold millions of the least healthy burgers this world has ever seen.
type: Fastfood
img: Billboards\bb_SandwichEmperor.png
