// Map Data: USA, Montpelier (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 700 y: 350
n: Racing Pony Pub d: A loud small pub with medieval decorations that attracts some of the worst bands in the area. 
type: Gig
days: 0,0,1,0,0,1,0
times: N,N,08:30,N,N,08:30,N
img: Billboards\bb_venue01.png
ticket: 0.9
capacity: 80
min_bandrating: 0.01
grade: F
// Fast Food
x: 1000 y: 400
n: Sandwich Emperor d: Since 1945 this company has sold millions of the least healthy burgers this world has ever seen.
type: Fastfood
img: Billboards\bb_SandwichEmperor.png
// Drug Dealer
x: 700 y: 650
n: Definitely Not Drugs d: The motto for this dealer is,"Definitely not drugs!"
type: Drugdealer
img: Billboards\bb_DrugDealer.png
