// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1120 y: 385
n: Rapid River Hotel d: This is a unique venue because it's on a moving boat. People are known to fall off the sides.
type: Gig
days: 0,1,0,1,0,1,0
times: N,14:00,N,14:00,N,18:00,N
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1090
min_bandrating: 0.58
grade: C
// Drug Dealer
x: 960 y: 250
n: Definitely Not Drugs d: The motto for this dealer is, "Definitely not drugs!"
type: Drugdealer
img: Billboards\bb_DrugDealer.png
