// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 820 y: 645
n: Super Savior d: Rescued kittens scuttle around the mosh pits and broken glass.
type: Gig
days: 1,0,1,0,1,0,0
times: 08:00,N,06:00,N,06:30,N,N
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1200
min_bandrating: 0.65
grade: C+
// Recording Studio
x: 1680 y: 230
n: Endless Labyrinth Studio d: An average looking studio with some good equipment.
type: Studio
price: 1500
studio_quality: 0.6
days: 1,0,0,0,1,0,1
times: 10:00,N,N,N,08:00,N,08:00
img: Billboards\bb_venue01.png
min_bandrating: 0.6
grade: C+
// Fast Food
x: 1500 y: 600
n: Sandwich Emperor d: Since 1945 this company has sold millions of the least healthy burgers this world has ever seen.
type: Fastfood
img: Billboards\bb_SandwichEmperor.png
// Bar
x: 1130 y: 480
n: Rocker Bar d: Bubble blowing babies should avoid this place.
type: Bar
img: Billboards\bb_RockerBar.png
