// Map Data: USA, Montpelier (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1220 y: 470
n: Coka Rocha Crib Venue d: Creepy name for a creepy place. Wait are those roaches on the floor?
type: Gig
days: 1,0,0,1,0,0,1
times: 12:00,N,N,02:00,N,N,12:00
img: Billboards\bb_venue01.png
ticket: 4.7
capacity: 670
min_bandrating: 0.45
grade: D+
// Record Deal
x: 1570 y: 600
n: Slow Yoyo Records d: 
type: Record Deal
record_rank: C-
min_bandrating: 0.48
min_fans: 7000
min_albums: 4
min_albumrating: 0.2
distribution_power: 1.1
revenue_share: 0.35
album_type: LP
studio_discount: 0
studio_locations: 
videoclip_discount: 0.40
videoclip_count: 1
videoclip_locations: Rebirth Studio
upfront_money: 2200
revenue_affect: 0.5
songs_required: 5
songs_minimum_rating: 0.3
videoclips_required: 1
gigs_required: 3
gigs_locations: El Pablito Rock Cafe#United Rockstars Club#Coka Rocha Crib Venue
fine_amount: 2000
cancel_cooldown: 38
due_date: 27
// Bar
x: 1630 y: 210
n: Rocker Bar d: Bubble blowing babies should avoid this place.
type: Bar
img: Billboards\bb_RockerBar.png
