// Map Data: USA, Jefferson City (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1100 y: 580
n: 8Ball Rock Cafe d: A rock cafe with a huge 8ball sign on the door that attracts unsuspecting victims to mediocre bands playing their music there.
type: Gig
days: 1,0,0,0,1,0,1
times: 16:00,N,N,N,16:30,N,16:30
img: Billboards\bb_venue01.png
ticket: 1.8
capacity: 190
min_bandrating: 0.22
grade: F+
// Fast Food
x: 800 y: 300
n: Sandwich Emperor d: Since 1945 this company has sold millions of the least healthy burgers this world has ever seen.
type: Fastfood
img: Billboards\bb_SandwichEmperor.png
// Rehab
x: 760 y: 580
n: Happy and Healthy d: A upbeat and empowering rehab center designed to cater to musicians.
type: Rehab
img: Billboards\bb_Rehab.png
