// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1000 y: 645
n: Wayward Child d: Drifters come in and out of this bar but they all come back for the live shows.
type: Gig
days: 1,0,1,0,1,0,0
times: 15:00,N,15:00,N,18:30,N,N
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1230
min_bandrating: 0.65
grade: C+
// Drug Dealer
x: 850 y: 450
n: Definitely Not Drugs d: The motto for this dealer is, "Definitely not drugs!"
type: Drugdealer
img: Billboards\bb_DrugDealer.png
