// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1020 y: 345
n: The Tortoise Shell d: This place got its name after its mascott was carried away by an eagle.
type: Gig
days: 0,1,0,1,0,1,0
times: N,15:00,N,15:00,N,18:00,N
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1060
min_bandrating: 0.55
grade: C
// Strip Club
x: 830 y: 580
n: The North Pole d: Known for their energetic employees and loud music.
type: Stripclub
img: Billboards\bb_TheNorthPole.png
