// Map Data: USA, Easton (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1480 y: 560
n: The Great Fallen Club d: A club filled with motorcycle enthusiasts ready to judge all the musicians that dare perform there.
type: Gig
days: 0,1,1,0,0,1,0
times: N,14:00,14:00,N,N,12:30,N
img: Billboards\bb_venue01.png
ticket: 2.8
capacity: 280
min_bandrating: 0.32
grade: D-
// Fast Food
x: 1800 y: 600
n: Sandwich Emperor d: Since 1945 this company has sold millions of the least healthy burgers this world has ever seen.
type: Fastfood
img: Billboards\bb_SandwichEmperor.png
