// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1390 y: 345
n: The Cultist d: For a long while now this joint has become stagnant and is awaiting a great band to fulfill the prophecy.
type: Gig
days: 0,1,0,0,0,0,1
times: N,15:00,N,N,N,N,15:00
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1160
min_bandrating: 0.65
grade: C
// Bar
x: 900 y: 430
n: Rocker Bar d: Bubble blowing babies should avoid this place.
type: Bar
img: Billboards\bb_RockerBar.png
