// Map Data: USA, Manchester (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 800 y: 470
n: United Rockstars Club d: Look at that space, surely it fits a lot of fans and booze. Hopefully more booze.
type: Gig
days: 0,1,0,0,0,0,1
times: N,19:00,N,N,N,N,19:00
img: Billboards\bb_venue01.png
ticket: 4.6
capacity: 620
min_bandrating: 0.44
grade: D+
// Fast Food
x: 1400 y: 500
n: Sandwich Emperor d: Since 1945 this company has sold millions of the least healthy burgers this world has ever seen.
type: Fastfood
img: Billboards\bb_SandwichEmperor.png
