// Map Data: USA, Trenton (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1270 y: 470
n: Triggered Man Club d: Having a reputation for aggresive mosh pits and brawls that end up with the bands performing getting involved
type: Gig
days: 0,0,1,0,0,1,0
times: N,N,18:00,N,N,20:00,N
img: Billboards\bb_venue01.png
ticket: 4.1
capacity: 480
min_bandrating: 0.395
grade: D+
// Fast Food
x: 700 y: 300
n: Sandwich Emperor d: Since 1945 this company has sold millions of the least healthy burgers this world has ever seen.
type: Fastfood
img: Billboards\bb_SandwichEmperor.png
// Bar
x: 1530 y: 580
n: Rocker Bar d: Bubble blowing babies should avoid this place.
type: Bar
img: Billboards\bb_RockerBar.png
