// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 820 y: 345
n: The Blue Crystal d: A crystal clear piece of candy is served here. Who is that bald guy?
type: Gig
days: 0,1,0,0,0,0,1
times: N,13:00,N,N,N,N,13:30
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1250
min_bandrating: 0.66
grade: B-
// Drug Dealer
x: 1360 y: 650
n: Definitely Not Drugs d: The motto for this dealer is, "Definitely not drugs!"
type: Drugdealer
img: Billboards\bb_DrugDealer.png
// Bar
x: 1530 y: 580
n: Rocker Bar d: Bubble blowing babies should avoid this place.
type: Bar
img: Billboards\bb_RockerBar.png
