// Map Data: USA, Cheyenne (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 840 y: 420
n: Santa Rocker Pub d: One of the largest pubs around, Santa Rocker holds the record for the longest headbanging crowd. 
type: Gig
days: 0,0,1,0,1,0,0
times: N,,N,15:00,N,17:00,N,N
img: Billboards\bb_venue01.png
ticket: 3.9
capacity: 420
min_bandrating: 0.375
grade: D
// Record Deal
x: 1260 y: 740
n: Meat Beat Records d: 
type: Record Deal
record_rank: D
min_bandrating: 0.12
min_fans: 2000
min_albums: 2
min_albumrating: 0
distribution_power: 1
revenue_share: 0.30
album_type: Single
studio_discount: 0
studio_locations: 
videoclip_discount: 0.30
videoclip_count: 1
videoclip_locations: Northern Shield Studio
upfront_money: 2200
revenue_affect: 0.5
songs_required: 2
songs_minimum_rating: 0.22
videoclips_required: 2
gigs_required: 2
gigs_locations: The Innkeepers Club#Flag O' Metal Club
fine_amount: 1500
cancel_cooldown: 35
due_date: 27
// Fast Food
x: 1500 y: 500
n: Sandwich Emperor d: Since 1945 this company has sold millions of the least healthy burgers this world has ever seen.
type: Fastfood
img: Billboards\bb_SandwichEmperor.png
