// Map Data: USA, Easton (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1480 y: 460
n: Garrison Club d: A pretty nice club filled with aspiring artists and even more broken dreams.
type: Gig
days: 0,1,1,0,0,0,1
times: N,19:00,19:00,N,N,N,17:00
img: Billboards\bb_venue01.png
ticket: 2.4
capacity: 240
min_bandrating: 0.28
grade: D-
// Fast Food
x: 1200 y: 500
n: Sandwich Emperor d: Since 1945 this company has sold millions of the least healthy burgers this world has ever seen.
type: Fastfood
img: Billboards\bb_SandwichEmperor.png
