// Map Data: USA, Albany (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1200 y: 550
n: Red Eagles Club d: One of the biggest clubs you can play is decorated by two eagles on top of the stage.
type: Gig
days: 0,0,1,0,0,1,1
times: N,N,10:00,N,N,12:30,13:00
img: Billboards\bb_venue01.png
ticket: 4.3
capacity: 550
min_bandrating: 0.42
grade: D+
// Bar
x: 830 y: 280
n: Rocker Bar d: Bubble blowing babies should avoid this place.
type: Bar
img: Billboards\bb_RockerBar.png
// Drug Dealer
x: 760 y: 450
n: Definitely Not Drugs d: The motto for this dealer is, "Definitely not drugs!"
type: Drugdealer
img: Billboards\bb_DrugDealer.png
