// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1520 y: 345
n: The Biggest Apple d: Only the most popular and renown rock bands perform here. This is the final stage in your career.
type: Gig
days: 0,1,0,0,0,0,0
times: N,18:30,N,N,N,N,N
img: Billboards\bb_venue01.png
ticket: 8
capacity: 2500
min_bandrating: 0.9
grade: A+
// Strip Club
x: 810 y: 580
n: The North Pole d: Known for their energetic employees and loud music.
type: Stripclub
img: Billboards\bb_TheNorthPole.png
// Drug Dealer
x: 1100 y: 450
n: Definitely Not Drugs d: The motto for this dealer is, "Definitely not drugs!"
type: Drugdealer
img: Billboards\bb_DrugDealer.png
// Record Deal
x: 1270 y: 600
n: Left For Gaben Records d: 
type: Record Deal
record_rank: A+
min_bandrating: 0.9
min_fans: 200000
min_albums: 10
min_albumrating: 0.9
distribution_power: 2.3
revenue_share: 0.3
album_type: LP
studio_discount: 0.3
studio_locations: Rocky's Gloves Studio
videoclip_discount: 0.3
videoclip_count: 1
videoclip_locations: Bulls 96 Studio
upfront_money: 80000
revenue_affect: 0.5
songs_required: 6
songs_minimum_rating: 0.82
videoclips_required: 2
gigs_required: 3
gigs_locations: Smog Sushi#Baby Panos Club#Brother Mike
fine_amount: 70000
cancel_cooldown: 50
due_date: 28
