// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1150 y: 245
n: Not Italian d: Often foreigners come here expecting italian food due to the cities name. The only food served here is rock.
type: Gig
days: 0,1,0,0,0,0,1
times: N,18:30,N,N,N,N,16:00
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1190
min_bandrating: 0.65
grade: C+
// Fast Food
x: 1400 y: 500
n: Sandwich Emperor d: Since 1945 this company has sold millions of the least healthy burgers this world has ever seen.
type: Fastfood
img: Billboards\bb_SandwichEmperor.png
