// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1420 y: 345
n: Roberts Tavern d: Usually rap and hip hop artists perform here but a few times a week you'll hear a kick ass band rocking out.
type: Gig
days: 0,1,0,0,0,0,1
times: N,16:00,N,N,N,N,12:30
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1290
min_bandrating: 0.7
grade: B
// Bar
x: 1600 y: 580
n: Rocker Bar d: Bubble blowing babies should avoid this place.
type: Bar
img: Billboards\bb_RockerBar.png
// Drug Dealer
x: 900 y: 500
n: Definitely Not Drugs d: The motto for this dealer is, "Definitely not drugs!"
type: Drugdealer
img: Billboards\bb_DrugDealer.png
