// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1500 y: 685
n: Gray Rain d: Known for being in one of the grayest and most precipitous spots in Oregon, this club is full of depression.
type: Gig
days: 0,1,0,1,0,1,0
times: N,15:00,N,15:00,N,12:00,N
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1050
min_bandrating: 0.54
grade: C-
// Record Deal
x: 870 y: 590
n: Deaf Man Records d: 
type: Record Deal
record_rank: C
min_bandrating: 0.6
min_fans: 25000
min_albums: 5
min_albumrating: 0.4
distribution_power: 1.3
revenue_share: 0.3
album_type: Single
studio_discount: 0
studio_locations: 
videoclip_discount: 0.25
videoclip_count: 1
videoclip_locations: Rebirth Studio
upfront_money: 6000
revenue_affect: 0.5
songs_required: 1
songs_minimum_rating: 0.6
videoclips_required: 1
gigs_required: 2
gigs_locations: Counter-Life#The Desert
fine_amount: 3000
cancel_cooldown: 40
due_date: 20
// Drug Dealer
x: 1360 y: 450
n: Definitely Not Drugs d: The motto for this dealer is, "Definitely not drugs!"
type: Drugdealer
img: Billboards\bb_DrugDealer.png
