// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1320 y: 545
n: Hipster City Booze d: One of the most hip and unusual bars in the world. You won't recognize any brand names in here.
type: Gig
days: 0,1,0,1,0,1,0
times: N,10:00,N,10:00,N,12:30,N
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1280
min_bandrating: 0.69
grade: B-
// Bar
x: 1530 y: 620
n: Rocker Bar d: Bubble blowing babies should avoid this place.
type: Bar
img: Billboards\bb_RockerBar.png
// Drug Dealer
x: 860 y: 450
n: Definitely Not Drugs d: The motto for this dealer is, "Definitely not drugs!"
type: Drugdealer
img: Billboards\bb_DrugDealer.png
