// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1120 y: 345
n: Baby Panos Club d: The owner is a legendary rockstar that dissapeared after a night of intense headbanging.
type: Gig
days: 0,1,0,0,0,0,0
times: N,12:30,N,N,N,N,N
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1600
min_bandrating: 0.86
grade: A+
// Recording Studio
x: 1300 y: 630
n: Rocky's Gloves Studio d: The greatest of all! Every single recording sounds like an angelic hymn.
type: Studio
price: 10000
studio_quality: 1
days: 1,0,0,0,1,0,1
times: 10:00,N,N,N,08:00,N,08:00
img: Billboards\bb_venue01.png
min_bandrating: 1
grade: A+
// Bar
x: 1650 y: 580
n: Rocker Bar d: Bubble blowing babies should avoid this place.
type: Bar
img: Billboards\bb_RockerBar.png
