// Map Data: USA, Charlotte (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1180 y: 360
n: The Cartel Venue d: What a weird name for a place, what is going on behind that locked door?
type: Gig
days: 0,0,0,1,0,0,0
times: N,N,N,08:00,N,N,N
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1020
min_bandrating: 0.51
grade: C-
// Fast Food
x: 1600 y: 500
n: Sandwich Emperor d: Since 1945 this company has sold millions of the least healthy burgers this world has ever seen.
type: Fastfood
img: Billboards\bb_SandwichEmperor.png
