// Map Data: USA, Pierre (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1500 y: 480
n: Firey Pier Cafe d: Often swarmed by some of the most try-hard bands out there.
type: Gig
days: 1,0,0,1,0,0,1
times: 14:30,N,N,14:30,N,N,19:00
img: Billboards\bb_venue01.png
ticket: 1
capacity: 120
min_bandrating: 0.15
grade: F
// Fast Food
x: 1680 y: 400
n: Sandwich Emperor d: Since 1945 this company has sold millions of the least healthy burgers this world has ever seen.
type: Fastfood
img: Billboards\bb_SandwichEmperor.png
// Drug Dealer
x: 1360 y: 350
n: Definitely Not Drugs d: The motto for this dealer is, "Definitely not drugs!"
type: Drugdealer
img: Billboards\bb_DrugDealer.png
