// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1420 y: 615
n: Cold Coffee d: Unlike most bars the only drink served here is coffee. Most of the customers prefer slower paced rock.
type: Gig
days: 1,0,1,0,0,0,0
times: 12:00,N,16:00,N,N,N,N
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1330
min_bandrating: 0.74
grade: B+
// Fast Food
x: 1000 y: 500
n: Sandwich Emperor d: Since 1945 this company has sold millions of the least healthy burgers this world has ever seen.
type: Fastfood
img: Billboards\bb_SandwichEmperor.png
