// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 820 y: 345
n: 7 Dollar Bill d: Relying almost entirely on their own weird currency, this club is in desperate need of a true rock performance.
type: Gig
days: 0,0,0,1,0,1,0
times: N,N,N,14:00,N,20:00,N
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1340
min_bandrating: 0.75
grade: B+
// Strip Club
x: 1330 y: 580
n: The North Pole d: Known for their energetic employees and loud music.
type: Stripclub
img: Billboards\bb_TheNorthPole.png
