// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1490 y: 145
n: Joshs Obsession d: The owner has a concerning need to cheat at every sort of competitive event.
type: Gig
days: 0,1,0,0,0,0,1
times: N,15:00,N,N,N,N,12:00
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1380
min_bandrating: 0.79
grade: A-
// Fast Food
x: 1200 y: 500
n: Sandwich Emperor d: Since 1945 this company has sold millions of the least healthy burgers this world has ever seen.
type: Fastfood
img: Billboards\bb_SandwichEmperor.png
// Bar
x: 1470 y: 580
n: Rocker Bar d: Bubble blowing babies should avoid this place.
type: Bar
img: Billboards\bb_RockerBar.png
// Record Deal
x: 620 y: 600
n: Broken Spine Records d: 
type: Record Deal
record_rank: A-
min_bandrating: 0.73
min_fans: 130000
min_albums: 8
min_albumrating: 0.75
distribution_power: 1.8
revenue_share: 0.3
album_type: EP
studio_discount: 0.3
studio_locations: Indian Hunt Studio
videoclip_discount: 0.3
videoclip_count: 1
videoclip_locations: Deadly Hornets Studio
upfront_money: 20000
revenue_affect: 0.5
songs_required: 4
songs_minimum_rating: 0.75
videoclips_required: 1
gigs_required: 2
gigs_locations: The Baby Seabass#Christophers Club
fine_amount: 18000
cancel_cooldown: 45
due_date: 23
