// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1620 y: 445
n: The Cheer Leader d: Beautiful and exotic women roam this club looking for someone to rock their socks off (and pants).
type: Gig
days: 1,0,0,0,0,0,0
times: 12:30,N,N,N,N,N,N
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1400
min_bandrating: 0.81
grade: A-
// Strip Club
x: 1230 y: 515
n: The North Pole d: Known for their energetic employees and loud music.
type: Stripclub
img: Billboards\bb_TheNorthPole.png
