// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 820 y: 345
n: Brother Mike d: The owner is a cool guy known for getting plastered by the end of every night without fail.
type: Gig
days: 0,1,0,0,0,0,0
times: N,18:30,N,N,N,N,N
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1450
min_bandrating: 0.84
grade: A
// Video Clip
x: 1200 y: 250
n: Yee Haw Studio d: The production values here are outstanding. Woah!
type: Video
price: 5000
studio_quality: 0.9
days: 0,1,0,1,0,1,0
times: N,10:00,N,08:00,N,08:00,N
img: Billboards\bb_venue01.png
grade: A
// Drug Dealer
x: 1560 y: 450
n: Definitely Not Drugs d: The motto for this dealer is, "Definitely not drugs!"
type: Drugdealer
img: Billboards\bb_DrugDealer.png
