// Map Data: USA, Montpelier (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1420 y: 625
n: Provocative Riff Venue d: Showcasing the most provocative riffs since '95, parents not allowed.
type: Gig
days: 0,1,0,1,0,1,0
times: N,06:00,N,06:00,N,10:00,N
img: Billboards\bb_venue01.png
ticket: 4.8
capacity: 730
min_bandrating: 0.45
grade: D+
// Drug Dealer
x: 1660 y: 450
n: Definitely Not Drugs d: The motto for this dealer is, "Definitely not drugs!"
type: Drugdealer
img: Billboards\bb_DrugDealer.png
