// Map Data: USA, Lynchburg (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 970 y: 670
n: Elektricity Club d: A club famous for only using blacklights and serving a drink called thunderstruck that makes people headbang harder.
type: Gig
days: 1,0,1,0,0,0,1
times: 14:00,N,12:30,N,N,N,12:30
img: Billboards\bb_venue01.png
ticket: 4
capacity: 450
min_bandrating: 0.390
grade: D+
// Recording Studio
x: 1200 y: 330
n: Humid Summer Studio d: If you need a recording with subpar quality this is the perfect place for you.
type: Studio
price: 110
studio_quality: 0.2
days: 1,0,0,0,1,0,1
times: 10:00,N,N,N,08:00,N,08:00
img: Billboards\bb_venue01.png
min_bandrating: 0.2
grade: D-
// Fast Food
x: 1400 y: 400
n: Sandwich Emperor d: Since 1945 this company has sold millions of the least healthy burgers this world has ever seen.
type: Fastfood
img: Billboards\bb_SandwichEmperor.png
