// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1300 y: 335
n: Koala Express d: You'll find delicious Chinese food on the menu with a side order of heavy metal and mosh pits.
type: Gig
days: 0,1,0,0,0,0,1
times: N,15:00,N,N,N,N,18:00
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1130
min_bandrating: 0.62
grade: C
// Bar
x: 800 y: 580
n: Rocker Bar d: Bubble blowing babies should avoid this place.
type: Bar
img: Billboards\bb_RockerBar.png
// Drug Dealer
x: 1460 y: 470
n: Definitely Not Drugs d: The motto for this dealer is, "Definitely not drugs!"
type: Drugdealer
img: Billboards\bb_DrugDealer.png
