// Map Data: USA, Easton (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1180 y: 360
n: Godly Mountain Bar d: A greek god themed bar, where they serve a drink called Ambrosia. It is said that it makes customers love the music.
type: Gig
days: 0,1,0,1,0,1,0
times: N,16:00,N,16:00,N,12:30,N
img: Billboards\bb_venue01.png
ticket: 2
capacity: 200
min_bandrating: 0.24
grade: F+
// Fast Food
x: 1500 y: 200
n: Sandwich Emperor d: Since 1945 this company has sold millions of the least healthy burgers this world has ever seen.
type: Fastfood
img: Billboards\bb_SandwichEmperor.png
