// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 800 y: 345
n: The Boxer d: Once the home to many boxing matches. Now the home to many alcoholics and grizzly old men.
type: Gig
days: 0,1,0,1,0,1,0
times: N,16:00,N,16:00,N,14:00,N
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1150
min_bandrating: 0.64
grade: C
// Drug Dealer
x: 1360 y: 500
n: Definitely Not Drugs d: The motto for this dealer is, "Definitely not drugs!"
type: Drugdealer
img: Billboards\bb_DrugDealer.png
