// Map Data: USA, Savannah (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1120 y: 365
n: Papa Donny d: Pizza, drinks, and rock music. There is nothing as relaxing as being punched in the face while eating pizza.
type: Gig
days: 1,0,1,0,1,0,0
times: 12:30,N,16:00,N,16:00,N,N
img: Billboards\bb_venue01.png
ticket: 5
capacity: 1260
min_bandrating: 0.67
grade: B-
// Fast Food
x: 800 y: 500
n: Sandwich Emperor d: Since 1945 this company has sold millions of the least healthy burgers this world has ever seen.
type: Fastfood
img: Billboards\bb_SandwichEmperor.png
