// Map Data: USA, Easton (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 980 y: 260
n: Fat Pig Pub d: A pretty big pub that hands out steaks for free if the band manages to entertain the crowd.
type: Gig
days: 0,0,1,1,0,1,0
times: N,N,14:00,14:00,N,10:00,N
img: Billboards\bb_venue01.png
ticket: 2.2
capacity: 220
min_bandrating: 0.26
grade: D-
// Fast Food
x: 1200 y: 700
n: Sandwich Emperor d: Since 1945 this company has sold millions of the least healthy burgers this world has ever seen.
type: Fastfood
img: Billboards\bb_SandwichEmperor.png
