// Map Data: USA, Cheyenne (DO NOT EDIT THIS FILE, YOU DON'T WANT THE COOL STUFF)
// Gig
x: 1100 y: 240
n: Smelly Cat Club d: Getting its name by a smelly cat that lived outside of the club, its now an even smellier place full of angst and rock music.
type: Gig
days: 0,0,0,1,0,1,0
times: N,N,N,18:00,N,20:00,N
img: Billboards\bb_venue01.png
ticket: 3.5
capacity: 360
min_bandrating: 0.35
grade: D
// Strip Club
x: 800 y: 580
n: The North Pole d: Known for their energetic employees and loud music.
type: Stripclub
img: Billboards\bb_TheNorthPole.png
